0.5,15,2,88.23529412,16,1,94.11764706,91.17647059
0.6,22,3,88,23,2,92,90
0.7,15,8,65.2173913,13,10,56.52173913,60.86956522
0.8,19,10,65.51724138,13,16,44.82758621,55.17241379
0.9,10,11,47.61904762,8,13,38.0952381,42.85714286
1,14,7,66.66666667,8,13,38.0952381,52.38095238
1.1,7,15,31.81818182,9,13,40.90909091,36.36363636
1.2,10,12,45.45454545,9,23,28.125,36.78977273
1.3,11,17,39.28571429,7,21,25,32.14285714
1.4,4,13,23.52941176,3,14,17.64705882,20.58823529
1.5,2,19,9.523809524,5,16,23.80952381,16.66666667